"","moving_average","price","date"
"1",0,109.910004,2020-01-02
"2",0,109.110001,2020-01-03
"3",0,109.345001,2020-01-06
"4",0,108.690002,2020-01-07
"5",0,110.459999,2020-01-08
"6",0,111.279999,2020-01-09
"7",0,107.660004,2020-01-10
"8",0,109.209999,2020-01-13
"9",0,110.879997,2020-01-14
"10",109.570501,109.160004,2020-01-15
"11",109.641318818182,109.959999,2020-01-16
"12",110.181079214876,112.610001,2020-01-17
"13",110.457246084899,111.699997,2020-01-20
"14",110.701383705826,111.800003,2020-01-21
"15",111.193860122949,113.410004,2020-01-22
"16",111.116794100594,110.769997,2020-01-23
"17",110.764649718668,109.18,2020-01-24
"18",110.125622497092,107.25,2020-01-27
"19",109.564600406712,107.040001,2020-01-28
"20",109.761946150946,110.650002,2020-01-29
"21",109.585228850774,108.790001,2020-01-30
"22",109.296096877906,107.995003,2020-01-31
"23",109.55953435465,110.745003,2020-02-04
"24",109.52507410835,109.370003,2020-02-05
"25",109.087788452287,107.120003,2020-02-06
"26",109.070008370053,108.989998,2020-02-07
"27",109.090915575498,109.184998,2020-02-10
"28",109.768930925407,112.82,2020-02-11
"29",111.036397666242,116.739998,2020-02-12
"30",112.526144090562,119.230003,2020-02-13
"31",113.339572437732,117,2020-02-14
"32",113.843286721781,116.110001,2020-02-17
"33",114.51905240873,117.559998,2020-02-18
"34",114.964679425324,116.970001,2020-02-19
"35",115.352919166175,117.099998,2020-02-20
"36",115.279660590506,114.949997,2020-02-21
"37",115.072449392233,114.139999,2020-02-24
"38",114.642912957281,112.709999,2020-02-25
"39",113.924201874139,110.690002,2020-02-26
"40",112.476164987932,105.959999,2020-02-27
"41",111.922316808308,109.43,2020-02-28
"42",111.24734993407,108.209999,2020-03-02
"43",110.691468491512,108.190002,2020-03-03
"44",110.107565674873,107.480003,2020-03-04
"45",108.969826097624,103.849998,2020-03-05
"46",107.604402988965,101.459999,2020-03-06
"47",105.374510809153,95.339996,2020-03-09
"48",103.751871934762,96.449997,2020-03-10
"49",101.993350128441,94.080002,2020-03-11
"50",99.4872862869065,88.209999,2020-03-12
"51",98.378688598378,93.389999,2020-03-13
"52",94.8043817623093,78.720001,2020-03-17
"53",91.0344941691622,74.07,2020-03-18
"54",86.1954948656781,64.419998,2020-03-19
"55",80.3872230719184,54.25,2020-03-20
"56",75.3204552406605,52.52,2020-03-23
"57",71.4749175605404,54.169998,2020-03-24
"58",69.3776596404422,59.939999,2020-03-25
"59",68.534448433089,64.739998,2020-03-26
"60",67.4554574452547,62.599998,2020-03-27
"61",66.441738091572,61.880001,2020-03-30
"62",65.7232406203771,62.490002,2020-03-31
"63",63.9117419621267,55.759998,2020-04-01
"64",62.69324324174,57.209999,2020-04-02
"65",61.1071991977873,53.970001,2020-04-03
"66",60.3386177072805,56.880001,2020-04-06
"67",59.7043232150477,56.849998,2020-04-07
"68",58.8180829941299,54.830002,2020-04-08
"69",58.1311589951972,55.040001,2020-04-13
"70",57.5200391778886,54.77,2020-04-14
"71",56.8891227819089,54.049999,2020-04-15
"72",56.8456462761073,56.650002,2020-04-16
"73",57.2318925895423,58.970001,2020-04-17
"74",57.391548664171,58.110001,2020-04-20
"75",56.9803581797762,55.130001,2020-04-21
"76",56.7912019652715,55.939999,2020-04-22
"77",56.4382557897676,54.849998,2020-04-23
"78",56.1494816461735,54.849998,2020-04-24
"79",55.9786666195965,55.209999,2020-04-27
"80",56.4389086887607,58.509998,2020-04-28
"81",57.3136525635315,61.25,2020-04-29
"82",57.6329884610712,59.07,2020-04-30
"83",57.3469907408765,56.060001,2020-05-04
"84",57.4148107879898,57.720001,2020-05-05
